Year,County of Residence,County of Residence Code,Maternal Morbidity Checked,Maternal Morbidity Checked Code,Abnormal Conditions Checked,Abnormal Conditions Checked Code,Births,% of Total Births,Average Age of Mother (years),Average OE Gestational Age (weeks),Average LMP Gestational Age (weeks),Average Birth Weight (grams),Average Pre-pregnancy BMI,Average Number of Prenatal Visits,Average Interval Since Last Live Birth (months),Average Interval Since Last Other Pregnancy Outcome (months)
2024,"Fresno County, CA",6019,Unknown or Not Stated,9,Unknown or Not Stated,9,10,0,33.3,38.1,38.1,3270,26.39,12.4,51,47.00
2024,"Humboldt County, CA",6023,At least one checked,0,None checked,1,12,0,31.33,39.73,39.82,3729.36,27.55,11.83,80.2,13.00
2024,"Humboldt County, CA",6023,None checked,1,At least one checked,0,170,0,31.06,37.15,37.39,3016.06,29.62,11.18,50.17,36.75
2024,"Humboldt County, CA",6023,None checked,1,None checked,1,866,0.0002,30.36,39.03,39.19,3450.01,28.32,12.14,50.46,33.53
2024,"Imperial County, CA",6025,None checked,1,At least one checked,0,114,0,29.97,35.42,35.98,2683.15,30.23,10.23,56.85,47.11
2024,"Imperial County, CA",6025,None checked,1,None checked,1,2060,0.0006,29.02,38.59,38.62,3309.46,29.06,10.37,58.55,43.27
2024,"Kern County, CA",6029,At least one checked,0,At least one checked,0,22,0,32.05,34.32,34.82,2582.5,30.74,8.1,54.21,38.00
2024,"Kern County, CA",6029,At least one checked,0,None checked,1,66,0,28.15,38.92,38.73,3454.15,29.29,12.07,71.47,54.09
2024,"Kern County, CA",6029,None checked,1,At least one checked,0,948,0.0003,29.37,35.1,35.46,2557.43,30.15,11.1,57.53,46.23
2024,"Kern County, CA",6029,None checked,1,None checked,1,10645,0.0029,28.69,38.82,38.77,3326.22,29.11,12.63,54,46.79
2024,"Kern County, CA",6029,Unknown or Not Stated,9,None checked,1,49,0,29.16,38.59,38.73,3256.33,30.19,11.22,58.39,21.20
2024,"Kern County, CA",6029,Unknown or Not Stated,9,Unknown or Not Stated,9,23,0,32.52,39.62,38.38,3475.86,26.41,8,46,41.67
2024,"Kings County, CA",6031,None checked,1,At least one checked,0,182,0.0001,29.27,34.75,34.94,2556.47,30.51,11.19,54.56,61.55
2024,"Kings County, CA",6031,None checked,1,None checked,1,1986,0.0005,28.19,38.73,38.8,3331.52,29.54,12.24,52.07,47.33
2024,"Los Angeles County, CA",6037,At least one checked,0,At least one checked,0,207,0.0001,32.32,36.26,36.38,2901.95,28.17,10.89,69.79,55.91
2024,"Los Angeles County, CA",6037,At least one checked,0,None checked,1,678,0.0002,31.06,38.91,39.01,3403.74,26.66,11.44,60.44,36.46
2024,"Los Angeles County, CA",6037,None checked,1,At least one checked,0,9238,0.0025,31.78,36.05,36.3,2730.79,28.39,11.03,63.94,37.28
2024,"Los Angeles County, CA",6037,None checked,1,None checked,1,79933,0.022,31.34,38.72,38.81,3297.21,27.4,11.57,57.39,38.89
2024,"Los Angeles County, CA",6037,None checked,1,Unknown or Not Stated,9,55,0,32.27,38.87,39.04,3379.31,25.36,12.58,37.16,33.67
2024,"Los Angeles County, CA",6037,Unknown or Not Stated,9,At least one checked,0,10,0,32.1,35.89,36.56,2742.3,25.79,4.22,31.5,Not Applicable
2024,"Los Angeles County, CA",6037,Unknown or Not Stated,9,None checked,1,15,0,32.73,38.79,38.79,3250.6,30.12,7.79,72.09,51.00
2024,"Los Angeles County, CA",6037,Unknown or Not Stated,9,Unknown or Not Stated,9,371,0.0001,31.97,39.1,39.2,3354.23,24.62,10.38,47.78,47.61
2024,"Madera County, CA",6039,At least one checked,0,None checked,1,13,0,29.15,39.54,39.54,3560,23.43,10.08,39.25,32.00
2024,"Madera County, CA",6039,None checked,1,At least one checked,0,211,0.0001,29.73,36.42,36.92,2832.38,29.25,11.43,58.83,47.74
2024,"Madera County, CA",6039,None checked,1,None checked,1,1899,0.0005,29.14,38.83,38.95,3318.02,29.36,11.38,53.08,47.12
2024,"Marin County, CA",6041,At least one checked,0,At least one checked,0,14,0,34.36,38.29,38.21,3028.14,27.58,10.57,63,14.00
2024,"Marin County, CA",6041,At least one checked,0,None checked,1,43,0,32.28,39.44,39.56,3473.98,24.82,11.77,68.44,28.75
2024,"Marin County, CA",6041,None checked,1,At least one checked,0,259,0.0001,33.15,36.8,37.24,2913.3,26.18,10.45,55.06,27.88
2024,"Marin County, CA",6041,None checked,1,None checked,1,1725,0.0005,33.27,39,39.23,3392.01,25.59,10.74,48.58,28.96
2024,"Merced County, CA",6047,At least one checked,0,None checked,1,13,0,26.08,39,38.92,3471.69,27.65,9.58,77.33,169.50
2024,"Merced County, CA",6047,None checked,1,At least one checked,0,320,0.0001,29.39,35.79,35.93,2708.15,30.35,10.35,64.46,30.71
2024,"Merced County, CA",6047,None checked,1,None checked,1,3414,0.0009,28.78,38.7,38.87,3328.85,29.56,10.71,55.84,47.12
2024,"Monterey County, CA",6053,At least one checked,0,At least one checked,0,13,0,26.08,38.08,38.54,3446.15,27.28,11.5,80.25,21.50
2024,"Monterey County, CA",6053,At least one checked,0,None checked,1,44,0,29.27,39.05,38.82,3386.52,27.56,11.77,51.7,52.80
2024,"Monterey County, CA",6053,None checked,1,At least one checked,0,487,0.0001,30.28,36,36.17,2780.65,29,11.42,58.16,45.83
2024,"Monterey County, CA",6053,None checked,1,None checked,1,4624,0.0013,29.48,38.83,38.89,3353.68,28.38,12.13,58.14,45.14
2024,"Napa County, CA",6055,At least one checked,0,None checked,1,15,0,33.53,39.4,39.4,3521.53,28.12,11.29,37.5,16.00
2024,"Napa County, CA",6055,None checked,1,At least one checked,0,140,0,31.19,37.15,37.62,2978.47,30.26,11.27,59.29,42.00
2024,"Napa County, CA",6055,None checked,1,None checked,1,944,0.0003,31.05,38.87,38.96,3382.82,27.72,11.5,54.7,38.92
2024,"Orange County, CA",6059,At least one checked,0,At least one checked,0,63,0,34,35.71,35.89,2706.02,26.13,10.67,56.17,31.21
2024,"Orange County, CA",6059,At least one checked,0,None checked,1,368,0.0001,32.65,38.95,39.11,3395.79,24.59,13.55,49.57,32.62
2024,"Orange County, CA",6059,None checked,1,At least one checked,0,2590,0.0007,32.28,35.88,36.17,2739.31,27.02,11.95,57.65,33.78
2024,"Orange County, CA",6059,None checked,1,None checked,1,27893,0.0077,31.68,38.67,38.79,3294.71,26.1,12.51,51.94,36.24
2024,"Placer County, CA",6061,At least one checked,0,At least one checked,0,17,0,34.47,37,37.65,3020.59,28.55,9.88,48.57,18.20
2024,"Placer County, CA",6061,At least one checked,0,None checked,1,80,0,31.95,39.02,39.14,3535.15,25.28,10.54,45.52,25.85
2024,"Placer County, CA",6061,None checked,1,At least one checked,0,488,0.0001,31.69,37.24,37.32,3086.33,28.15,10.33,52.7,35.88
2024,"Placer County, CA",6061,None checked,1,None checked,1,3364,0.0009,31.33,38.95,39.03,3416.42,26.66,10.81,48.6,38.50
2024,"Riverside County, CA",6065,At least one checked,0,At least one checked,0,31,0,31.35,34.74,34.77,2593,28.41,10.17,55.11,18.50
2024,"Riverside County, CA",6065,At least one checked,0,None checked,1,87,0,31.52,38.32,38.76,3363.53,27.77,11.58,53.38,30.46
2024,"Riverside County, CA",6065,None checked,1,At least one checked,0,2543,0.0007,30.74,35.75,35.96,2707.96,29.32,10.87,62.95,48.52
2024,"Riverside County, CA",6065,None checked,1,None checked,1,24226,0.0067,29.91,38.69,38.81,3317.39,28.44,11.48,55.07,43.87
2024,"Riverside County, CA",6065,None checked,1,Unknown or Not Stated,9,40,0,29.6,38.9,38.77,3196.22,28,8.97,65.08,14.50
2024,"Riverside County, CA",6065,Unknown or Not Stated,9,Unknown or Not Stated,9,52,0,30.79,37.88,37.57,3118,27.26,8.92,33.78,44.38
2024,"Sacramento County, CA",6067,At least one checked,0,At least one checked,0,76,0,30.41,36.81,37.15,3125.63,28.96,9,54.54,55.06
2024,"Sacramento County, CA",6067,At least one checked,0,None checked,1,228,0.0001,30.93,39.14,39.18,3503.01,26.34,10.49,52.14,23.72
2024,"Sacramento County, CA",6067,None checked,1,At least one checked,0,2273,0.0006,31.12,36.49,36.75,2888.94,29.31,10.21,57.94,42.29
2024,"Sacramento County, CA",6067,None checked,1,None checked,1,14852,0.0041,30.6,38.83,38.96,3353.33,27.72,10.74,50.86,40.16
2024,"San Bernardino County, CA",6071,At least one checked,0,At least one checked,0,42,0,29.74,35.24,35.64,2594.69,25.36,8.07,49.8,49.75
2024,"San Bernardino County, CA",6071,At least one checked,0,None checked,1,194,0.0001,30.29,38.52,38.72,3283.47,26.43,11.15,50.47,27.53
